 ispLEVER Classic 2.0.00.17.20.15 Fitter Report File 
Project Name,cpld
Project Path,C:\Users\pcadmin\Documents\CPLD
Project Fitted on,Thu Feb 09 15:58:02 2017

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name,PG
1,GND,-,,,,,,
2,TDI,-,,,,,,
3,VCCIO0,-,,,,,,
4,I_O,0,C12,*,LVCMOS18,Input,cup1_motor_D,
5,I_O,0,C10,*,LVCMOS18,Input,cup1_motor_U,
6,I_O,0,C8,*,LVCMOS18,Input,cup2_motor_D,
7,I_O,0,C6,*,LVCMOS18,Input,cup2_motor_U,
8,I_O,0,C4,*,LVCMOS18,Input,cup3_motor_D,
9,I_O,0,C2,*,LVCMOS18,Input,cup3_motor_U,
10,GNDIO0,-,,,,,,
11,I_O,0,D14,*,LVCMOS18,Input,cup4_motor_D,
12,I_O,0,D12,*,LVCMOS18,Input,cup4_motor_U,
13,I_O,0,D10,*,LVCMOS18,Input,cup5_motor_D,
14,I_O,0,D8,*,LVCMOS18,Input,cup5_motor_U,
15,I_O,0,D6,*,LVCMOS18,Input,cup6_motor_D,
16,I_O,0,D4,*,LVCMOS18,Input,cup6_motor_U,
17,IN0,0,,*,LVCMOS18,Input,cup7_motor_D,
18,NC,-,,,,,,
19,VCCIO0,-,,,,,,
20,IN1,0,,*,LVCMOS18,Input,cup7_motor_U,
21,I_O,0,E2,*,LVCMOS18,Input,cup8_motor_D,
22,I_O,0,E4,*,LVCMOS18,Input,cup8_motor_U,
23,I_O,0,E6,*,LVCMOS18,Input,cup9_motor_D,
24,I_O,0,E8,*,LVCMOS18,Input,cup9_motor_U,
25,I_O,0,E10,*,LVCMOS18,Input,cup10_motor_D,
26,I_O,0,E12,*,LVCMOS18,Input,cup10_motor_U,
27,GNDIO0,-,,,,,,
28,I_O,0,F2,*,LVCMOS18,Output,cup1_LED_OUT,
29,I_O,0,F4,*,LVCMOS18,Output,cup2_LED_OUT,
30,I_O,0,F6,*,LVCMOS18,Output,cup3_LED_OUT,
31,I_O,0,F8,*,LVCMOS18,Output,cup4_LED_OUT,
32,I_O,0,F10,*,LVCMOS18,Output,cup5_LED_OUT,
33,I_O,0,F12,*,LVCMOS18,Output,cup6_LED_OUT,
34,VCCIO0,-,,,,,,
35,TCK,-,,,,,,
36,VCC,-,,,,,,
37,GND,-,,,,,,
38,IN2,0,,,,,,
39,I_O,0,G12,*,LVCMOS18,Output,cup7_LED_OUT,
40,I_O,0,G10,*,LVCMOS18,Output,cup8_LED_OUT,
41,I_O,0,G8,*,LVCMOS18,Output,cup9_LED_OUT,
42,I_O,0,G6,*,LVCMOS18,Output,cup10_LED_OUT,
43,I_O,0,G4,,,,,
44,I_O,0,G2,,,,,
45,IN3,0,,,,,,
46,GNDIO0,-,,,,,,
47,VCCIO0,-,,,,,,
48,I_O,0,H12,,,,,
49,I_O,0,H10,,,,,
50,I_O,0,H8,,,,,
51,I_O,0,H6,,,,,
52,I_O,0,H4,*,LVCMOS18,Output,clk_out,
53,I_O,0,H2,*,LVCMOS18,Input,nRST,
54,INCLK1,0,,,,,,
55,GNDIO1,-,,,,,,
56,INCLK2,1,,,,,,
57,VCC,-,,,,,,
58,I_O,1,I2,,,,,
59,I_O,1,I4,,,,,
60,I_O,1,I6,,,,,
61,I_O,1,I8,,,,,
62,I_O,1,I10,,,,,
63,I_O,1,I12,,,,,
64,VCCIO1,-,,,,,,
65,GNDIO1,-,,,,,,
66,I_O,1,J2,,,,,
67,I_O,1,J4,,,,,
68,I_O,1,J6,,,,,
69,I_O,1,J8,,,,,
70,I_O,1,J10,*,LVCMOS18,Output,diode,
71,I_O,1,J12,,,,,
72,IN4,0,,,,,,
73,GND,-,,,,,,
74,TMS,-,,,,,,
75,VCCIO1,-,,,,,,
76,I_O,1,K12,,,,,
77,I_O,1,K10,,,,,
78,I_O,1,K8,,,,,
79,I_O,1,K6,,,,,
80,I_O,1,K4,,,,,
81,I_O,1,K2,,,,,
82,GNDIO1,-,,,,,,
83,I_O,1,L14,,,,,
84,I_O,1,L12,,,,,
85,I_O,1,L10,,,,,
86,I_O,1,L8,,,,,
87,I_O,1,L6,,,,,
88,I_O,1,L4,,,,,
89,IN5,1,,,,,,
90,NC,-,,,,,,
91,VCCIO1,-,,,,,,
92,IN6,1,,,,,,
93,I_O,1,M2,,,,,
94,I_O,1,M4,,,,,
95,I_O,1,M6,,,,,
96,I_O,1,M8,,,,,
97,I_O,1,M10,,,,,
98,I_O,1,M12,,,,,
99,GNDIO1,-,,,,,,
100,I_O,1,N2,,,,,
101,I_O,1,N4,,,,,
102,I_O,1,N6,,,,,
103,I_O,1,N8,,,,,
104,I_O,1,N10,,,,,
105,I_O,1,N12,,,,,
106,VCCIO1,-,,,,,,
107,TDO,-,,,,,,
108,VCC,-,,,,,,
109,GND,-,,,,,,
110,IN7,1,,,,,,
111,I_O,1,O12,,,,,
112,I_O,1,O10,,,,,
113,I_O,1,O8,,,,,
114,I_O,1,O6,,,,,
115,I_O,1,O4,,,,,
116,I_O,1,O2,,,,,
117,IN8,1,,,,,,
118,GNDIO1,-,,,,,,
119,VCCIO1,-,,,,,,
